"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1610","Finishing order navigates to confirmation page","","Wed Mar 25 10:12:02 UTC 2026","passed","Wed Mar 25 10:12:04 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","944","Invalid login attempts show correct error message Epic sadface: Username and password do not match any user in this service","","Wed Mar 25 10:11:54 UTC 2026","passed","Wed Mar 25 10:11:54 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","929","Standard user can log in successfully","","Wed Mar 25 10:11:56 UTC 2026","passed","Wed Mar 25 10:11:57 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","standardUserCanLogin"
"","1067","Cart contains the added product","","Wed Mar 25 10:12:01 UTC 2026","passed","Wed Mar 25 10:12:02 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartContainsAddedProduct"
"","1073","Adding a product updates the cart badge","","Wed Mar 25 10:11:38 UTC 2026","passed","Wed Mar 25 10:11:39 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingProductUpdatesCartBadge"
"","1138","Checkout info page displays correct title","","Wed Mar 25 10:12:11 UTC 2026","passed","Wed Mar 25 10:12:12 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","1031","Invalid login attempts show correct error message Epic sadface: Username is required","","Wed Mar 25 10:11:54 UTC 2026","passed","Wed Mar 25 10:11:55 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1201","Proceeding to checkout navigates to checkout info page","","Wed Mar 25 10:11:57 UTC 2026","passed","Wed Mar 25 10:11:59 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","963","Inventory page displays all products","","Wed Mar 25 10:11:39 UTC 2026","passed","Wed Mar 25 10:11:40 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","12113","User can log out from inventory page","","Wed Mar 25 10:11:40 UTC 2026","passed","Wed Mar 25 10:11:52 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","userCanLogout"
"","950","Invalid login attempts show correct error message Epic sadface: Password is required","","Wed Mar 25 10:11:55 UTC 2026","passed","Wed Mar 25 10:11:56 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1199","Adding multiple products updates cart badge count","","Wed Mar 25 10:11:37 UTC 2026","passed","Wed Mar 25 10:11:38 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","1501","Incomplete checkout form shows correct validation error Error: Last Name is required","","Wed Mar 25 10:12:08 UTC 2026","passed","Wed Mar 25 10:12:10 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1442","Overview page shows ordered item","","Wed Mar 25 10:12:05 UTC 2026","passed","Wed Mar 25 10:12:07 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","1144","Cart page displays correct title","","Wed Mar 25 10:12:00 UTC 2026","passed","Wed Mar 25 10:12:01 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartPageHasCorrectTitle"
"","1238","Removing a product empties the cart","","Wed Mar 25 10:11:59 UTC 2026","passed","Wed Mar 25 10:12:00 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","removingProductEmptiesCart"
"","1105","Invalid login attempts show correct error message Epic sadface: Sorry, this user has been locked out.","","Wed Mar 25 10:11:52 UTC 2026","passed","Wed Mar 25 10:11:54 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1519","Incomplete checkout form shows correct validation error Error: Postal Code is required","","Wed Mar 25 10:12:10 UTC 2026","passed","Wed Mar 25 10:12:11 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1547","Valid info navigates to checkout overview page","","Wed Mar 25 10:12:04 UTC 2026","passed","Wed Mar 25 10:12:05 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","validInfoNavigatesToOverview"
"","2326","Inventory page displays correct title","","Wed Mar 25 10:11:35 UTC 2026","passed","Wed Mar 25 10:11:37 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1513","Incomplete checkout form shows correct validation error Error: First Name is required","","Wed Mar 25 10:12:07 UTC 2026","passed","Wed Mar 25 10:12:08 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
